EP011949, UNNAMED,7,,,,,,,,,,,,,,,,,,
19490919,0,, TS,19.3N,106.7W,45,,,,,,,,,,,,,,
19490919,600,, TS,19.7N,107.3W,45,,,,,,,,,,,,,,
19490919,1200,, TS,20.1N,107.9W,45,,,,,,,,,,,,,,
EP061949, UNNAMED,7,,,,,,,,,,,,,,,,,,
19490929,0,, TD,16.1N,107.4W,25,,,,,,,,,,,,,,
19490929,600,, TS,17.0N,107.2W,45,,,,,,,,,,,,,,
19490929,1200,, HU,17.9N,107.3W,75,,,,,,,,,,,,,,
19490929,1800,, HU,18.6N,107.9W,75,,,,,,,,,,,,,,
19490930,0,, TS,18.8N,108.8W,45,,,,,,,,,,,,,,
19490930,600,, TS,18.2N,110.1W,45,,,,,,,,,,,,,,
19490930,1200,, TD,16.7N,111.6W,25,,,,,,,,,,,,,,
EP011950, UNNAMED,21,,,,,,,,,,,,,,,,,,
19500614,1200,, HU,14.1N,98.2W,75,,,,,,,,,,,,,,
19500614,1800,, HU,14.2N,98.5W,75,,,,,,,,,,,,,,
19500615,0,, HU,14.4N,98.9W,75,,,,,,,,,,,,,,
19500615,600,, HU,14.8N,99.5W,75,,,,,,,,,,,,,,
19500615,1200,, HU,15.2N,99.9W,75,,,,,,,,,,,,,,
19500615,1800,, HU,15.4N,100.0W,75,,,,,,,,,,,,,,
19500616,0,, HU,15.6N,100.1W,75,,,,,,,,,,,,,,
19500616,600,, HU,15.9N,100.2W,75,,,,,,,,,,,,,,
19500616,1200,, HU,16.1N,100.3W,75,,,,,,,,,,,,,,
19500616,1800,, HU,16.1N,100.6W,75,,,,,,,,,,,,,,
19500617,0,, HU,16.2N,101.1W,75,,,,,,,,,,,,,,
19500617,600,, HU,16.4N,101.6W,75,,,,,,,,,,,,,,
19500617,1200,, HU,16.6N,102.1W,75,,,,,,,,,,,,,,
19500617,1800,, HU,16.8N,102.8W,75,,,,,,,,,,,,,,
19500618,0,, HU,17.0N,103.6W,75,,,,,,,,,,,,,,
19500618,600,, HU,17.4N,105.0W,75,,,,,,,,,,,,,,
19500618,1200,, HU,18.1N,106.0W,75,,,,,,,,,,,,,,
19500618,1800,, HU,19.0N,106.0W,75,,,,,,,,,,,,,,
19500619,0,, HU,20.0N,106.0W,75,,,,,,,,,,,,,,
19500619,600,, HU,20.8N,106.0W,75,,,,,,,,,,,,,,
19500619,1200,, HU,21.5N,106.0W,75,,,,,,,,,,,,,,
EP021950, UNNAMED,13,,,,,,,,,,,,,,,,,,
19500703,1200,, HU,18.4N,105.9W,75,,,,,,,,,,,,,,
19500703,1800,, HU,19.0N,106.3W,75,,,,,,,,,,,,,,
19500704,0,, HU,19.5N,106.7W,75,,,,,,,,,,,,,,
19500704,600,, HU,20.2N,107.2W,75,,,,,,,,,,,,,,
19500704,1200,, HU,20.7N,107.8W,75,,,,,,,,,,,,,,
19500704,1800,, HU,21.0N,108.4W,75,,,,,,,,,,,,,,
19500705,0,, HU,21.1N,109.0W,75,,,,,,,,,,,,,,
19500705,600,, HU,21.2N,109.7W,75,,,,,,,,,,,,,,
19500705,1200,, HU,21.4N,110.4W,75,,,,,,,,,,,,,,
19500705,1800,, HU,21.8N,111.2W,75,,,,,,,,,,,,,,
19500706,0,, HU,22.3N,112.0W,75,,,,,,,,,,,,,,
19500706,600,, HU,22.8N,112.8W,75,,,,,,,,,,,,,,
19500706,1200,, HU,23.3N,113.6W,75,,,,,,,,,,,,,,
EP031950, UNNAMED,13,,,,,,,,,,,,,,,,,,
